# x y
# Function f(x) = 3x³ - x²
# Refering points: 
-0.55999997 -0.84044789
-0.48999997 -0.59304691
-0.41999997 -0.39866393
-0.34999997 -0.25112495
-0.27999997 -0.14425596
-0.20999997 -0.07188298
-0.13999997 -0.02783199
-0.06999997 -0.00592899
0.00000003 0.00000000
0.07000003 -0.00387100
0.14000003 -0.01136800
0.21000003 -0.01631700
0.28000003 -0.01254400
0.35000003 0.00612501
0.42000003 0.04586402
0.49000003 0.11284704
0.56000003 0.21324805
0.63000003 0.35324108
0.70000003 0.53900010
0.77000003 0.77669913
0.84000003 1.07251216
0.91000003 1.43261319
0.98000003 1.86317623
1.05000003 2.37037527
1.12000003 2.96038431
1.19000003 3.63937736
1.26000004 4.41352841
1.33000004 5.28901147
1.40000004 6.27200053
1.47000004 7.36866960
1.54000004 8.58519266
1.61000004 9.92774374
1.68000004 11.40249681
1.75000004 13.01562590
1.82000004 14.77330498
1.89000004 16.68170807
1.96000004 18.74700917
2.03000004 20.97538227
2.10000004 23.37300137
2.17000004 25.94604049
2.24000004 28.70067360
2.31000004 31.64307472
2.38000004 34.77941785
2.45000004 38.11587698
2.52000004 41.65862611
2.59000004 45.41383925
2.66000004 49.38769040
2.73000004 53.58635355
2.80000004 58.01600271
2.87000004 62.68281187
2.94000004 67.59295504
3.01000004 72.75260622
3.08000004 78.16793940
3.15000004 83.84512859
3.22000004 89.79034778
3.29000004 96.00977098
3.36000004 102.50957219
3.43000004 109.29592540
3.50000004 116.37500462
3.57000005 123.75298384
3.64000005 131.43603707
3.71000005 139.43033831
3.78000005 147.74206155
3.85000005 156.37738081
3.92000005 165.34247007
3.99000005 174.64350333
4.06000005 184.28665460
4.13000005 194.27809788
4.20000005 204.62400717
4.27000005 215.33055646
4.34000005 226.40391977
4.41000005 237.85027107
4.48000005 249.67578439
4.55000005 261.88663371
4.62000005 274.48899305
4.69000005 287.48903639
4.76000005 300.89293773
4.83000005 314.70687109
4.90000005 328.93701045
4.97000005 343.58952982
5.04000005 358.67060320
5.11000005 374.18640459
5.18000005 390.14310799
5.25000005 406.54688739
5.32000005 423.40391680
5.39000005 440.72037022
5.46000005 458.50242165
5.53000005 476.75624509
5.60000005 495.48801454
5.67000005 514.70390400
5.74000005 534.41008746
5.81000005 554.61273894
5.88000005 575.31803242
5.95000006 596.53214191
6.02000006 618.26124141
6.09000006 640.51150492
6.16000006 663.28910644
6.23000006 686.60021997
6.30000006 710.45101951
6.37000006 734.84767906
6.44000006 759.79637262
6.51000006 785.30327419
6.58000006 811.37455777
6.65000006 838.01639736
6.72000006 865.23496696
6.79000006 893.03644056
6.86000006 921.42699218
6.93000006 950.41279581

# Eitken 

-7.00000000 -1078.00000000
-6.93000000 -1046.46257087
-6.86000000 -1015.54616774
-6.79000000 -985.24461662
-6.72000000 -955.55174350
-6.65000000 -926.46137439
-6.58000000 -897.96733528
-6.51000000 -870.06345218
-6.44000000 -842.74355108
-6.37000000 -816.00145799
-6.30000000 -789.83099890
-6.23000000 -764.22599981
-6.16000000 -739.18028673
-6.09000000 -714.68768566
-6.02000000 -690.74202259
-5.95000000 -667.33712352
-5.88000000 -644.46681446
-5.80999999 -622.12492140
-5.73999999 -600.30527035
-5.66999999 -579.00168730
-5.59999999 -558.20799825
-5.52999999 -537.91802921
-5.45999999 -518.12560617
-5.38999999 -498.82455513
-5.31999999 -480.00870210
-5.24999999 -461.67187307
-5.17999999 -443.80789405
-5.10999999 -426.41059103
-5.03999999 -409.47379001
-4.96999999 -392.99131699
-4.89999999 -376.95699798
-4.82999999 -361.36465897
-4.75999999 -346.20812596
-4.68999999 -331.48122496
-4.61999999 -317.17778196
-4.54999999 -303.29162296
-4.47999999 -289.81657397
-4.40999999 -276.74646097
-4.33999999 -264.07510998
-4.26999999 -251.79634699
-4.19999999 -239.90399801
-4.12999999 -228.39188902
-4.05999999 -217.25384604
-3.98999999 -206.48369506
-3.91999999 -196.07526208
-3.84999999 -186.02237311
-3.77999999 -176.31885413
-3.70999999 -166.95853116
-3.63999999 -157.93523019
-3.56999999 -149.24277722
-3.49999999 -140.87499825
-3.42999998 -132.82571929
-3.35999998 -125.08876632
-3.28999998 -117.65796536
-3.21999998 -110.52714239
-3.14999998 -103.69012343
-3.07999998 -97.14073447
-3.00999998 -90.87280151
-2.93999998 -84.88015055
-2.86999998 -79.15660760
-2.79999998 -73.69599864
-2.72999998 -68.49214968
-2.65999998 -63.53888673
-2.58999998 -58.83003577
-2.51999998 -54.35942281
-2.44999998 -50.12087386
-2.37999998 -46.10821490
-2.30999998 -42.31527195
-2.23999998 -38.73587099
-2.16999998 -35.36383804
-2.09999998 -32.19299908
-2.02999998 -29.21718013
-1.95999998 -26.43020717
-1.88999998 -23.82590622
-1.81999998 -21.39810326
-1.74999998 -19.14062431
-1.67999998 -17.04729535
-1.60999998 -15.11194239
-1.53999998 -13.32839143
-1.46999998 -11.69046847
-1.39999998 -10.19199951
-1.32999998 -8.82681055
-1.25999998 -7.58872759
-1.18999998 -6.47157663
-1.11999997 -5.46918366
-1.04999997 -4.57537470
-0.97999997 -3.78397573
-0.90999997 -3.08881276
-0.83999997 -2.48371179
-0.76999997 -1.96249882
-0.69999997 -1.51899984
-0.62999997 -1.14704087
-0.55999997 -0.84044789
-0.48999997 -0.59304691
-0.41999997 -0.39866393
-0.34999997 -0.25112495
-0.27999997 -0.14425596
-0.20999997 -0.07188298
-0.13999997 -0.02783199
-0.06999997 -0.00592899
0.00000003 -0.00000000
0.07000003 -0.00387100
0.14000003 -0.01136800
0.21000003 -0.01631700
0.28000003 -0.01254400
0.35000003 0.00612501
0.42000003 0.04586402
0.49000003 0.11284704
0.56000003 0.21324805
0.63000003 0.35324108
0.70000003 0.53900010
0.77000003 0.77669913
0.84000003 1.07251216
0.91000003 1.43261319
0.98000003 1.86317623
1.05000003 2.37037527
1.12000003 2.96038431
1.19000003 3.63937736
1.26000004 4.41352841
1.33000004 5.28901147
1.40000004 6.27200053
1.47000004 7.36866960
1.54000004 8.58519266
1.61000004 9.92774374
1.68000004 11.40249681
1.75000004 13.01562590
1.82000004 14.77330498
1.89000004 16.68170807
1.96000004 18.74700917
2.03000004 20.97538227
2.10000004 23.37300137
2.17000004 25.94604049
2.24000004 28.70067360
2.31000004 31.64307472
2.38000004 34.77941785
2.45000004 38.11587698
2.52000004 41.65862611
2.59000004 45.41383925
2.66000004 49.38769040
2.73000004 53.58635355
2.80000004 58.01600271
2.87000004 62.68281187
2.94000004 67.59295504
3.01000004 72.75260622
3.08000004 78.16793940
3.15000004 83.84512859
3.22000004 89.79034778
3.29000004 96.00977098
3.36000004 102.50957219
3.43000004 109.29592540
3.50000004 116.37500462
3.57000005 123.75298384
3.64000005 131.43603707
3.71000005 139.43033831
3.78000005 147.74206155
3.85000005 156.37738081
3.92000005 165.34247007
3.99000005 174.64350333
4.06000005 184.28665460
4.13000005 194.27809788
4.20000005 204.62400717
4.27000005 215.33055646
4.34000005 226.40391977
4.41000005 237.85027107
4.48000005 249.67578439
4.55000005 261.88663371
4.62000005 274.48899305
4.69000005 287.48903639
4.76000005 300.89293773
4.83000005 314.70687109
4.90000005 328.93701045
4.97000005 343.58952982
5.04000005 358.67060320
5.11000005 374.18640459
5.18000005 390.14310799
5.25000005 406.54688739
5.32000005 423.40391680
5.39000005 440.72037022
5.46000005 458.50242165
5.53000005 476.75624509
5.60000005 495.48801454
5.67000005 514.70390400
5.74000005 534.41008746
5.81000005 554.61273894
5.88000005 575.31803242
5.95000006 596.53214191
6.02000006 618.26124141
6.09000006 640.51150492
6.16000006 663.28910644
6.23000006 686.60021997
6.30000006 710.45101951
6.37000006 734.84767906
6.44000006 759.79637262
6.51000006 785.30327419
6.58000006 811.37455777
6.65000006 838.01639736
6.72000006 865.23496696
6.79000006 893.03644056
6.86000006 921.42699218
6.93000006 950.41279581
